TSR|monsterKey|setting|mainTitle|title|name|Diet|Frequency|Hit Dice|Intelligence|Magic Resistance|Morale|Movement|No. Appearing|No. of Attacks|Organization|Size|Special Attacks|Special Defenses|THAC0|Treasure|XP Value|Alignment|Armor Class|Climate/Terrain|Damage/Attack
['2119']|fal|Spelljammer|Fal|Fal|Fal|Herbivore|Very rare|15|Supra-genius (19)|Nil|Elite (15)|9, Fl 3 (E), Br 6|1|1|Solitary|G (50'+ long)|Nil|Nil|6|F,T|6,000|Lawful neutral|1|Wildspace|4d8
['2119']|feesu|Spelljammer|Feesu|Feesu|Feesu|Herbivore|Common|2+2|Non- (0)|Nil|Unreliable (3) + special|3, Fl 12 (C)|6-48|1|Swarm|S (2' long)|Air deprivation|Nil|18|Nil|270|Neutral|7|Wildspace|1 hp
['2119', '2635']|firebat|Planescape|Fire Bat|Fire Bat|Fire Bat|Blood|Common|2|Semi- (2-4)|Nil|Average (8-10)|6, Fl 21 (B)|10+1d10|1|Pack|S (2' long, 4' wingspan)|Heat, blood drain|Reform body, immune to fire, detect invisible, infravision 120'|19|I|175|Neutral evil|8|Elemental Plane of Fire|2d4
['2119']|firebird|Spelljammer|Firebird|Firebird|Firebird|Carnivore|Uncommon|5|Low (5-7)|Nil|Elite (15)|Fl 24 (SR 10)|1-20|3|Solitary|L (20' wingspan)|Flame lance (1d4 hull points)|Flame sheath (12d6, 10' radius)|15|Special (magic items only)|2,000|Neutral|4|Wildspace|1d8/1d8/2d6
['2119']|firelich|Spelljammer|Firelich|Firelich|Firelich|Nil|Very rare|16+|Genius (17+)|40%|Fearless (19)|Fl 36 (D), SR 4|1|1|Solitary|L (18' long)|Fear|Nil|4|Nil|10,000|Any evil|0|Wildspace|16d6
['2119']|flowfien|Spelljammer|Flowfiend|Flowfiend|Flowfiend|Omnivore|Rare|7+7|Highly (13)|10%|Very steady (14)|9. Fl 18 (D)|2-8|5|Pack|Varies|See below|+1 or better weapon to hit|13|Nil|5,000|Chaotic evil|0|Phlogiston|1d12/1d12/1d12/1d12/2d10
['2119']|gadabout|Spelljammer|Gadabout|Gadabout|Gadabout|Photosynthetic|Rare|N/A|Non- (0)|Nil|N/A|2|1|N/A|None|M (4'-6' wide)|N/A|N/A|N/A|Nil|Nil|Neutral|7|Wildspace, shipboard|N/A
['2119']|gammaroi|Spelljammer|Gammaroid|Gammaroid|Gammaroid|Omnivore|Very rare|100|Animal (1)|Nil|Fearless (19-20)|9, SR 9|1|3|Solitary|G (2500' diameter)|See below|Hide limbs, flame sheath|5|Varies|125,000|Neutral|-2/-10|Any|10d6/10d6/60d4
['2119']|gonn|Spelljammer|Gonn|Gonn|Gonn|Special|Very rare|18|Genius (18)|25%|Fearless (20)|Fl 48 (A)|8|See below|Scale|H to G (25-1,000')|See below|See below|3|U|25,000|Lawful good|-4|Wildspace|Special
['2119']|gossamer|Spelljammer|Gossamer|Gossamer|Noble|Carnivore|Rare|58|Semi- (2-4)|Nil|Champion (15-16)|SR 4|1-8|20|Flotilla|G (120-250' diameter)|Poison stinger|Nil|8|Nil|49,000|Neutral|4|Wildspace/phlogiston|1d6 (&times;20)
['2119']|gossamer|Spelljammer|Gossamer|Gossamer|Standard|Scavenger|Uncommon|1 hit point|Non- (0)|Nil|Unreliable (2-4)|Fl 12 (D)|20-200|1|Shoal|T (6&rdquo; diameter)|Poison stinger|Nil|19|Nil|7|Neutral|10|Space|1d3
['2119']|grav|Spelljammer|Grav|Grav|Grav|Omnivore|Uncommon (Elite: Rare)|3+1 (Elite: 5+1)|Low (6) (Elite: High (13))|Nil|Steady (13) (Elite: Elite (14))|9|6-60 (Elite: 1 per 30 miners)|1|Clan|S (3')|Gravity reduction|None|17 (Elite: 15)|J (Elite: R (E))|270 (Elite: 650)|Lawful neutral|10 (Elite: 6 (10))|Any|1d8 (weapon)
['2119']|greadrea|Spelljammer|Great Dreamer|Great Dreamer|Great Dreamer|Omnivore|Very rare|72-144|Godlike (21+)|Variable|Fearless (19-20)|Sw 18, Fl 30 (F), SR 18|1|1|Solitary|G (10-20 miles)|See below|Variable|5|See below|61,000-133,000|Lawful|0|Wildspace, oceans|See below
['2119']|greaswan|Spelljammer|Greatswan|Greatswan|Greatswan|Herbivore, insectivore|Uncommon|3+3|Low (5-7)|Nil|Elite (14)|6, F1 36 (B), (C) when mounted, Sw 18|1-6|2|Flock|L (10' long, 28' wingspan)|Nil|Nil|15|Nil|420|Chaotic good|5|Elven lands, wildspace|1d6/2d6
['2119', '2140']|grelcolo|Spelljammer|Grell, Colonial|Grell, Colonial|Patriarch|Carnivore|Very rare|9|Supra-genius (19)|Nil|Fanatic (17)|SR 9|1|1|Hive|G (30' diameter)|See below|See below|11|H|9,000|Neutral evil|-10 (10)|Any|1d8 hull points
['2119', '2140']|grelcolo|Spelljammer|Grell, Colonial|Grell, Colonial|Philosopher|Carnivore|Very rare|7|Exceptional (15-16)|Nil|Champion (15-16)|Fl 12 (D)|1-2|11|Hive|M (4' diameter)|Magical items|Nil|13|W|5,000|Neutral evil|5 (0)|Any|1d4(&times;10)/1-6 or by weapon
['2119', '2140']|grelcolo|Spelljammer|Grell, Colonial|Grell, Colonial|Worker|Carnivore|Rare|5|Average (8-10)|Nil|Elite (13-14)|Fl 12 (D)|1-10|11|Hive|M (4' diameter)|Magical items|Nil|15|U (see below)|2,000|Neutral evil|5|Any|1-4(&times;10)/1-6 or by weapon
['2119']|gullion|Spelljammer|Gullion|Gullion|Gullion|Omnivore|Common|1|Animal (1)|Nil|Irregular (5)|10, Fl 12|10-100|1|Flock|S (3')|Nil|Nil|20|Nil|7|Neutral|10 (6 in flight)|Planet/Around ships|1d2
['2119']|insectar|Spelljammer|Insectare|Insectare|Insectare|Omnivore|Very rare|3+1|Very (12)|20%|Champion (16)|9|2-12|3|Clan|M (6')|See below|Nil|17|W (A)|420|Lawful evil|3|Any|1d8 (weapon)/1s2/1d2
['2119']|lhee|Spelljammer|Lhee|Lhee|Common|Omnivore|Uncommon|1+1|Low (5-7)|45%|Unsteady (5)|9, Fl 12 (B)|1-12|1|Pack|S (1' high)|Nil|Nil|19|D|120|Neutral|2|Any|1d2
['2119']|lhee|Spelljammer|Lhee|Lhee|Greater|Omnivore|Uncommon|5+5|Semi- (2-4)|15%|Steady (11)|9, Fl 12 (B)|1-6|1|Pack|M (5' high)|Nil|Nil|15|W|650|Chaotic good|4|Any|1d6
['2119']|lhee|Spelljammer|Lhee|Lhee|Lesser|Omnivore|Uncommon|3+3|Low (5-7)|30%|Fanatic (17)|9, Fl 12 (B)|1-8|1|Pack|S (3' high)|Nil|Nil|17|Nil|270|Chaotic neutral|3|Any|1d8
['2119']|mercslim|Spelljammer|Mercurial Slime|Mercurial Slime|Mercurial Slime|Omnivore|Very rare|4|Non- (0)|Nil|Fearless (20)|3, Fl 48 (E), SR 2|1-4|1|Colony|L (10'+ diameter)|Nil|Nil|17|Nil|420|Neutral|2|Wildspace|5d10
['2119']|metespaw|Spelljammer|Meteorspawn|Meteorspawn|Meteorspawn|Rocks and minerals|Uncommon|19|Non- (0)|Nil|Steady (11)|Fl 6 (E)|1|2|Solitary|G (100'+ diameter)|Nil|Nil|2|Nil|11,000|Neutral|-6|Wildspace|3d10
['2119']|monitor|Spelljammer|Monitor|Monitor|Monitor|Herbivore|Uncommon|10|Exceptional (16)|50%|Elite (16)|12, Fl 24 (A), Sw 9|4-7|2 or 3|Patrol|M (6' tall)|See below|Nil|11|D|8,000|Lawful good|0|Any|1d10 (weapon) +1 (strength bonus) or 1d8/1d8
['2119']|owlspace|Spelljammer|Owl, Space|Owl, Space|Owl, Space|Omnivore|Rare|3+3|Genius (18)|Nil|Champion (15)|3, Fl 12 (B)|1 (2-8)|3|Parliament|S (2½' tall)|Nil|See below|17|Nil|420|Chaotic good|6|Any|1d4/1d4/1d3
['2119']|pristati|Spelljammer|Pristatic|Pristatic|Pristatic|See below|Very rare|8+1|Exceptional (16)|50%|Steady (12); Elite (16) with sphere|18|1|Nil|Solitary|S (3½'); M (5') with sphere|See below|See below|13|Nil|10,000|Chaotic good|10 (without sphere)|Phlogiston|Nil
['2119', '9347', '9343']|scro|Spelljammer|Scro|Scro|Scro|Omnivore|Very rare|3|Highly (13-14)|10%|Elite (15)|9 (12)|30-120|1|Tribal|M to L (5-8' tall)|See below|Nil|18|Z (J,K,M,Q)|270<br>Sergeant/guard (4 HD): 420<br>Captain/bodyguard (6 HD): 975<br>Warpriest (5 HD): 975<br>Almighty Leader (8 HD): 2,000|Lawful evil|4 (8)|Any|1d6, or by weapon
['2119']|selkstar|Spelljammer|Selkie, Star|Selkie, Star|Selkie, Star|Carnivore|Very rare|4|Average to genius (8-18)|Nil|Elite (13-14)|Fly 12 (B), SR 5|1 or 10-20|1|Solitary or tribal|M (5-8' in either form)|Nil|Change to human form|17|A (magic only), R|270|Neutral good|2 (prow -2), 10 in human form|Wildspace/phlogiston|1d2 hull points or by weapon
['2119']|silatic|Spelljammer|Silatic|Silatic|Gold|See below|Rare|9+1|Low (5)|30%|Steady (12)|12|1|3|Solitary|M (6')|See below|+1 or better weapons to hit|11|M&times;10|3,000|Neutral|9|Space|1d6+4
['2119']|silatic|Spelljammer|Silatic|Silatic|Iron|See below|Rare|6+1|Low (5)|75%|Steady (12)|6|1|3|Solitary|M (6')|See below|+1 or better weapons to hit|15|J&times;10|975|Neutral|5|Space|1d6+7
['2119']|silatic|Spelljammer|Silatic|Silatic|Platinum|See below|Rare|10+1|Low (5)|30%|Steady (12)|6|1|2|Solitary|M (6')|See below|+1 or better weapons to hit|11|L&times;10|4,000|Neutral|3|Space|1d6+7
['2119']|skullbir|Spelljammer|Skullbird|Skullbird|Skullbird|Carnivore|Uncommon|6+6|Semi- (2)|Nil|Unsteady (7)|6, Fl 9 (C)|2-5|3|Flock|L (16' wingspan)|Grab prey|Slippery|14|R|1,400|Neutral evil|2|Any|1d8/1d8/3d4
['2119']|sleek|Spelljammer|Sleek|Sleek|Sleek|Omnivore|Uncommon|2+1|Low (5-7)|Nil|Steady (12)|36|1-10|3|Solitary/tribal|T (1-3')|Sever vein on 19-20|Nil|19|Nil|65|Chaotic neutral|3|Temperate|1d4/1d4/2d6
['2119']|sluk|Spelljammer|Sluk|Sluk|Sluk|Wood, magic|Common|5|Non- (0)|Nil|Nil|3|1|1|Bed|G (50'+ diameter patches)|Special|Special|16|Nil|420|Neutral|8|Wildspace and phlogiston|Special
['2119']|spacswin|Spelljammer|Space Swine|Space Swine|Space Swine|Omnivore|Uncommon|4+4|Semi- (3)|Nil|Steady (11)|9, Fl 12|1-4|1|Herd|S (3' at shoulder)|See below|Nil|16|Nil|420|Neutral good|5|Any|2d4
['2119']|sphiastr|Spelljammer|Sphinx, Astro-|Sphinx, Astro-|Sphinx, Astro-|Carnivore|Rare|9|Highly (13-14)|25%|Fanatic (18)|18, Fl 24|1|5|Solitary|L (12' at shoulder)|Chain lightning|Nil|12|A|6,000|Chaotic evil|4|Any|2d6,/2d6/4d6/1d6/1d6
['2119']|spirwarr|Spelljammer|Spirit Warrior|Spirit Warrior|Spirit Warrior|N/A|Very rare|Master's +10|Non- (0)|Nil|Varies|15, Fl 24|1-200|Varies|N/A|H (20')|See below|Nil|Varies|Nil|6,000|Neutral good|-5|Any|3d6/3d6 or by weapon type
['2119']|spirwarr|Spelljammer|Spirit Warrior|Spirit Warrior|Zwarth|N/A|Very rare|Master's +20|Non- (0)|Special|Varies|18, Fl 24, SR 3|1-5|Equals master's attacks|N/A|G (30'+)|See below|Nil|Varies|Nil|7,000|Neutral|-8|Any|3d6/3d6 or by weapon type
['2119']|staflypl|Spelljammer|Starfly Plant|Starfly Plant|Starfly Plant|N/A|Rare|0|Non- (0)|Nil|Nil|18|1-100|0|Solitary|S (2' long)|Nil|Nil|N/A|Nil|Nil|Neutral|10|Wildspace, phlogiston|Nil
['2119']|stargaze|Spelljammer|Stargazer|Stargazer|Stargazer|Carnivore|Uncommon|6+2|Low (5-7)|Nil|Steady (12-13)|12, Roll 24|1-2|3 (1)|Solitary|L (18' tall)|Electric bolt (5d6&times;2)|Stone hide|15|See below|3,000|Chaotic neutral|-2 (8)|Wildspace/asteroids|1d8/1d8/4d6
['2119']|undestel|Spelljammer|Undead, Stellar|Undead, Stellar|Undead, Stellar|Carnivore|Rare|5|Low (5-7)|Nil|Steady (12)|9|1-10|3|None|S to M (3-7' tall)|See below|See below|16|Nil|420|Neutral evil|3|Wildspace|2d4/2d4/3d4
['2119', '9347', '9343']|witcmara|Spelljammer|Witchlight Marauder|Witchlight Marauder|Primary|Omnivore|Very rare|15|Low (5-7)|Nil|Fearless (19-20)|9|1-3|7|Solitary|G (200')|See below|See below|5|Nil|12,000|Chaotic evil|-5|Any|3d6 (&times;6)/5d12
['2119', '9347', '9343']|witcmara|Spelljammer|Witchlight Marauder|Witchlight Marauder|Remote|Omnivore|Very rare|7|Non- (0)|Nil|Steady (11-12)|24|1-5|1|Solitary|G (25')|See below|See below|13|Nil|2,000|Neutral|5|Wildspace|See below
['2119', '9347', '9343']|witcmara|Spelljammer|Witchlight Marauder|Witchlight Marauder|Secondary|Omnivore|Very rare|8|Low (5-7)|Nil|Elite (13-14)|48|2-20*|6, spit|Horde|H (20')|See below|See below|13|Nil|6,000|Chaotic evil|0|Any|2d6 (&times;6)/3d6/2d10
['2119', '9347', '9343']|witcmara|Spelljammer|Witchlight Marauder|Witchlight Marauder|Space|Omnivore|Very rare|45|Average (8-10)|Nil|Fearless (19-20)|SR 3|1|7, sunbeam|Solitary|G (1000')|See below|See below|5|Nil|40,000|Chaotic neutral|-3|Any|1d6 hull pts (&times;6)/2d6 hull pts/25d10
['2119', '9347', '9343']|witcmara|Spelljammer|Witchlight Marauder|Witchlight Marauder|Tertiary|Omnivore|Very rare|4|Semi- (2-4)|Nil|Steady (11-12)|16|1-4*|3|Swarm|M (5-6')|See below|See below|17|Nil|270|Neutral evil|2|Any|1d6+3 (&times;2)/1d10
['2119']|xixchil|Spelljammer|Xixchil|Xixchil|Xixchil|Carnivore|Uncommon|1+1|Average - Genius (8-18)|Nil|Elite (13-14)|12|1-3|1 or 2|Solitary/tribal|M (5' base)|Poison bite|Nil|19|W|Varies|Any|See below|Any|By weapon type, or 2d6/2d6 or 1d4 + poison
['2119']|yitsan|Spelljammer|Yitsan|Yitsan|Yitsan|Carnivore|Very rare|11|Very (11-12)|Nil|Fanatic (18)|12, Fl 3 (D), Br 6, Sw 12|1-4|6|Pack|L (10' tall)|See below|+1 weapon or better to hit|10|Nil|7,000|Neutral|0|Any|1d6/1d6/3d6/2d12
['2119']|zurchin|Spelljammer|Zurchin|Zurchin|Zurchin|Omnivore|Common|1+1|Non- (0)|1%||8|1-3|2|Solitary|120|Nil|T (6&rdquo; to 1' diameter)|19|Nil||Neutral|4|Wildspace, asteroid fields|1d4 + 2 Poison Spines
