TSR|monsterKey|setting|mainTitle|title|name|Diet|Frequency|Hit Dice|Intelligence|Magic Resistance|Morale|Movement|No. Appearing|No. of Attacks|Organization|Size|Special Attacks|Special Defenses|THAC0|Treasure|XP Value|Alignment|Armor Class|Climate/Terrain|Damage/Attack
['2125']|chitine|Forgotten Realms|Chitine|Chitine|Chitine|Carnivore|Very rare|2|Very (11-12)|Nil|Steady (11-12)|12, Wb 9|10-60|3|Tribal|S (4' tall)|Webbing traps|Nil|19|D (K,Q)|65|Lawful evil|9 (6)|Any subterranean|1-6/1-6/1-6
['2125', '2166']|cildabri|Forgotten Realms|Cildabrin|Cildabrin|Cildabrin|Carnivore|Very rare|11|Average (8-10)|20%|Elite (14)|15|1-2|3|Solitary|H (13' across, 6-10' high)|See below|Nil|9|C or D|7,000|Neutral evil|5|Warm subterranean areas|1-12/1-12/1-6
['2501', '2125']|dimewarp|Forgotten Realms|Dimensional Warper|Dimensional Warper|Dimensional Warper|Omnivore|Very rare|8-10|Supra to genius (19-20)|Nil|Elite (14)|12|1|3|Solitary|M (6' tall)|See below|See below|8 or 9 HD: 13<br>10 HD: 11|Nil|8 or 9 HD: 3,500<br>10 HD: 5,000|Neutral|1|Any|1-3/1-3/1-6
['2125', '2140', '9326']|dragdeep|Forgotten Realms|Dragon, Deep|Dragon, Deep|Dragon, Deep|Carnivorous|Rare|14 (base)|Exceptional (15-16)|Variable|Fanatic (17-18)|12, Fl 30 (C), Br 6, Sw 9|1 (2-5)|3 + special|Solitary or clan|H (24' base)|See below|Variable|7 (base)|Special|Variable|Chaotic evil|0 (base)|Hill and mountain caverns, subterranean|3-12/3-12/3-24
['2125']|fachanto|Forgotten Realms|Fachan (Toril)|Fachan (Toril)|Fachan (Toril)|Omnivore|Very rare|4+2|Low (5-7)|Nil|Steady (12)|90 (150 Sw)|2-12 (4-48)|1 or 2 (bite and weapon)|Tribal|S (2-4' tall)|Head butt, paralytic bite|Surprised on a 1|17|K|650|Neutral evil|5 (Head AC 2)|Swamps|1-4 bite, or by weapon type
['2125', '2433']|fael|Forgotten Realms|Fael|Fael|Fael|Omnivore|Very rare|As in life, minimum 6+3|Very (11-12)|Nil|Champion (15-16)|9|1|As in life, or 3|Solitary|M (6' tall)|See below|+1 or better weapon to hit|As in life, or 15|R|975 + 200 per HD over 7|Chaotic evil|As in life, or 6|Anywhere there is food|1d3/1d3/2d6
['2140', '2125']|feyr|Advanced Dungeons & Dragons 2nd Edition|Feyr|Feyr|Feyr|Emotions|Very rare|4|Low (5)|10%|Fanatic (18)|12|1-4|1|Loose band|S (2' tall)|Fear|Nil|17|Nil|975|Chaotic evil|2|Urban|1-4
['2140', '2125']|feyr|Advanced Dungeons & Dragons 2nd Edition|Feyr|Feyr|Great Feyr|Emotions|Very rare|16|High (14)|40%|Fanatic (18)|12, Fl 18 (B)|1|1-4|Solitary|M (7' tall)|Emotion control|Invisibility|5|Nil|13,000|Chaotic evil|-2|Any|2-12/2-12/2-12/2-12
['2173', '2125']|firetail|Forgotten Realms|Firetail|Firetail|Lesser|See below|Rare|4+4|Average (8-10)|40%|Steady (12)|Fl 15 (B)|1-6|2|Flock/solitary|S (2' long)|Heat|Nil|17|Nil|1,400|Chaotic neutral|6|Any but cold|1-6/1-6
['2173', '2125']|firetail|Forgotten Realms|Firetail|Firetail|Tshala|See below|Very rare|9+9|Genius (17-18)|90%|Champion (15)|Fl 21 (B)|1-2|4|Solitary/flock|S (4' long)|Heat, magic use|+1 weapon to hit|12|Gems only (25%)|6,000|Chaotic neutral|2|Any but cold|1-12/1-12/1-12/1-12
['2125']|frost|Forgotten Realms|Frost|Frost|Frost|Omnivore|Rare|½ (1d4 hp)|High|30%||6, Fl 24|1d6|1|Tribal|T (1' tall)|Spells|Invisible at will, immune to cold|20|Q&times;2 each|650|Neutral good|9 (5 if flying)|Subarctic and cold/winter temperate forests|1-2 (dagger)
['2125']|gaund|Forgotten Realms|Gaund|Gaund|Gaund|Omnivorous|Rare|4+4|Average (8-10)|Nil|Elite (13-14)|15|1-20|4 + special|Group|M (6' tall)|See below|See below|17|Q&times;4|650|Neutral|6|Subterranean, hot caverns|1-4/1-4/1-6/1-8
['2140', '2125']|gloowing|Advanced Dungeons & Dragons 2nd Edition|Gloomwing|Gloomwing|Moth|Carnivore|Rare|5+1|Animal (1)|Nil|Average (8-10)|2, Fl 18 (D)|1|3|Solitary|M (8')|Pheromone|Confusion|15|Nil|1,400|Neutral|1|Any, Demi-plane of Shadow|1-3/1-3/1-8
['2140', '2125']|gloowing|Advanced Dungeons & Dragons 2nd Edition|Gloomwing|Gloomwing|Tenebrous Worm|Carnivore|Uncommon|10|Animal (1)|Nil|Elite (13)|10|1|1|Solitary|M (6')|Acid|Poison Bristles|11|Nil|5,000|Neutral|1|Forests|2-16
['2125', '2173']|goldammo|Dragon Magazine|Golden Ammonite|Golden Ammonite|Dragon Variety|Scavenger?|Very rare|8+3|Semi- (2-4)|90%|Champion (15-16)|1|1-3|10|Solitary|L (6-8' shell diameter; 12' tentacles)|Blinding, constriction|Immune to psionics|11|Special (shell)|6,000|Neutral|2/8|Ocean depths|1d4 (&times;10)
['2125', '2173']|goldammo|Dragon Magazine|Golden Ammonite|Golden Ammonite|Toril Variety|Scavenger|Very rare|8+3|Semi- (2-4)|90%|Average (10)|1|1-3|10|Solitary|L (6' shell, 8-12' tentacles)|Blinding, draining|Immune to psionic attack, telepathy, <i>ESP</i>, and all enchantment/charm spells; takes half damage from blunt weapons and cold-based attacks; can regenerate; cannot be surprised in its environment|11|Special|8,000|Neutral|6 (shell), 8 (arms/head)|Oceanic canyons over 1,000' deep|1-4 each tentacle
['2125']|goleligh|Forgotten Realms|Golem, Lightning|Golem, Lightning|Golem, Lightning|None|Very rare|11 (66 hp)|Semi- (2-4)|Nil|Fearless (20)|12|1|1|Solitary|L (8' tall)|See below|See below|9|Nil|2,004|Neutral|0|Any land|4-32
['2125', '2166']|hamadrya|Forgotten Realms|Hamadryad|Hamadryad|Hamadryad|Water and sunlight|Very rare|4|High (13-14)|75%|Steady (11-12)|15|1-2|1|Solitary|M (5-5½' tall)|See below|See below|17|Nil|650|Neutral|7|Temperate, subtropical/forest|1-3 (pummel)
['2125']|harrier|Forgotten Realms|Harrier|Harrier|Harrier|Carnivore (carrion)|Very rare|7+7|Low (5-7)|Nil|Fanatic (18)|3, gliding 12|1-2|3|Solitary|M (4' long)|Poison, rear claws 2-5 each|Camouflage, spell immunity|13|Nil|4,000|Neutral evil|6|Jungle|2-5/2-5/2-12
['2125']|harrier|Forgotten Realms|Harrier|Harrier|Larva|Carnivore (carrion)|Very rare|1|Non (0)|Nil|Fearless (20)|1|2-5|1|Nest|T (1-2' long)|Nil|Nil|19|Nil|35|Evil|9|Jungle|1-6
['2125']|harrla|Forgotten Realms|Harrla|Harrla|Harrla|Life energy|Very rare|4+3|Very (11-12)|Nil|Fearless (20)|Fl 15 (A)|1|0|Solitary|M (6' tall)|Emotion control|See below|15|Nil|5,000|Chaotic evil|0|Any urban area|Nil
['2125']|haun|Forgotten Realms|Haun|Haun|Haun|Scavenger|Very rare|½ (1-4 hp)|Exceptional (15-16)|Nil|Average (8)|6|2-5 (1-4+1)|1 bite|Brood|S (4' long)|Psionics|Psionics|20|Nil, W|175|Chaotic (evil)|10|Arctic ice pack and glaciers|1d4
['2125']|haundar|Forgotten Realms|Haundar|Haundar|Haundar|Carnivore|Rare|20|Animal (1)|Nil|Elite (15)|6, Fl 12 (D)|1|1 bite|Solitary|G (30' long, 10' tall)|Spit acid|Nil|1|Nil|12,000|Neutral|2|Icebergs, arctic valleys|2-16 (2d8)
['2125']|hendar|Forgotten Realms|Hendar|Hendar|Hendar|Omnivorous, but prefer meat|Rare|6+6|Average (8-10)|Nil|Fearless (18)|6, Sw 18, Fl 15(C)|1 (1-3)|2|Solitary|L (14-22' wingspan)|Drowning dive|Nil|15|All possible, but no silver|975|Neutral (evil)|5|Desolate areas (temperate)|2-8/1-3, or special
['2125', '2173']|inquisit|Forgotten Realms|Inquisitor|Inquisitor|Inquisitor|Omnivore|Very rare|6|High (13-14)|Nil|Fanatic (17-18)|9|1|2|Solitary|M (6' tall)|Disease, fear, paralysis, torture|Spell immunity|15|W|3,000|Lawful evil|4|Urban/subterranean|1-4/1-6
['2125']|lhiashee|Ravenloft|Lhiannan Shee|Lhiannan Shee|Lhiannan Shee|Special|Very rare|5|Average to very (8-12)|90%|Special (always flees if attacked, but returns later)|12|1|1|Solitary|M|Charm touch, draining kiss|Selective invisibility, various spell immunities, struck only by +1 or better weapons|15|K,M,N,U|4,000|Neutral evil|8 in darkness; 5 in strong firelight or <i>light</i> spell; 2 in sunlight or <i>continual light</i> spell|Subarctic to tropical woodlands|Special
['2125', '2145']|loxo|Forgotten Realms|Loxo|Loxo|Loxo|Herbivore|Very rare|4+4|Low to exceptional (5-16)|Nil|Champion (15)|12|10-60|2|Herd|L (8' tall)|Trample, berserker rage|Possible spell use|15|U (Z)|650<br>Fithik: 975<br>Lox-fithik: 2,000<br>Tunnuk: Varies|Neutral|6|Temperate or tropical grasslands|2-12/2-12 or by weapon
['2125', 'Dragon163']|manni|Forgotten Realms|Manni|Manni|Manni|Scavenger|Rare|3|Low (5-7)|Nil|Unsteady (5-7)|9, FL 18|1-6|2|Flock|M (4-5')|Nil|Nil|17|P (Y&times;2,W)|65|Chaotic evil|5|Temperate forest and steppe|1-6 and by weapon
['2125', '2140']|manscorp|Forgotten Realms|Manscorpion|Manscorpion|Manscorpion|Carnivore|Rare|8-12|Low to genius (5-18)|20%|Champion to fanatic (15-18)|12|8 or more|3|Squad, swarm, and city|L (6' tall, 4' long plus 10' tail)|Poison, possible spell use|Nil|8 HD: 13<br>9-10 HD: 11<br>11-12 HD: 9|J,K,M,Q (F,U&times;10)|4,000<br>9 HD squad leader: 5,000<br>9 HD squad spellcaster: 6,000<br>10 HD swarm leader: 6,000<br>10 HD swarm spellcaster: 8,000<br>11 HD noble: 7,000<br>11 HD sorcerer: 9,000<br>12 HD king or queen: 8,000<br>12 HD high cleric: 10,000|Neutral evil|5|Tropical or subtropical desert or caves|2-5/2-5/1-4 (claw/claw/tail), or by weapon and 2-5/1-4
['2125']|mara|Forgotten Realms|Mara|Mara|Mara|Special|Rare|10|Semi (2-4)|25%|Elite (13-14)|6|1-3|3|Group|L (20' tall)|See below|See below|11|Nil|5,000|Chaotic evil|5|Variable|3-12/3-12/1-6
['2125', 'Dragon163']|morin|Forgotten Realms|Morin|Morin|Morin|Scavenger|Uncommon|2|Animal (1)|Nil|Special|18|3-12|6|Pack|S (1-2')|Swarm|Burrowing|19|(Z)|120|Neutral|7|Plains or steppe|1-2 each
['2140', '1085', '2125', '9320']|nagadark|Forgotten Realms|Naga, Dark|Naga, Dark|Naga, Dark|Carnivore|Very rare|9|Exceptional (16)|Nil|Champion (15)|13|1-3 (usually 1)|2|Trios, pairs, alone or work with other lawful evil creatures|L (up to 12' long)|See below|Nil|11|S,T,W|4,000|Lawful evil|6|Any except arctic/any land|1-4/2-8
['2125', '9320']|orpsu|Forgotten Realms|Orpsu|Orpsu|Orpsu|Carnivore|Rare|1+6|Low (5-7)|Nil|Elite (13)|2, Fl 14 (D)|4-12 (usually 6 or 7)|2|Hunting swarms|S (up to 2' &ldquo;hornspan&rdquo;, 3' length)|See below|See below|19|Nil|420|Neutral evil|7|Temperate/any dry|4-7/1-3
['2125']|plancabw|Forgotten Realms|Plant, Carnivorous, Black Willow|Plant, Carnivorous, Black Willow|Plant, Carnivorous, Black Willow|Carnivore|Very rare|12-19|Low to Very (5-12)|Nil|Fearless (19-20)|¼|1|7-12|Solitary|L (6-9' diam. trunk)|Drowsiness aura|Regeneration|12 HD: 9<br>13-14 HD: 7<br>15-19 HD: 5|Incidental|Varies|Neutral evil|2|Any/Any|1-4
['2125']|plancato|Forgotten Realms|Plant, Carnivorous (Toril)|Plant, Carnivorous (Toril)|Viper Vine|Carnivore|Rare|4|Low (5-7)|Nil|Elite (13-14)|3|1-10|1|Clusters|L (20-50' long)|Paralysis, constriction|See below|17|Nil|270|Neutral|8|Tropical/Forests|1-4
['2125']|plancato|Forgotten Realms|Plant, Carnivorous (Toril)|Plant, Carnivorous (Toril)|Whipweed|Omnivore|Uncommon|4|Semi- (2-4)|Nil|Average (8-10)|3|1-2|2|Solitary|Variable|Frenzy|Nil|17|Nil|175|Neutral|6/4|Non-arctic/Dark|1-10/1-10
['2125']|plancato|Forgotten Realms|Plant, Carnivorous (Toril)|Plant, Carnivorous (Toril)|Witherweed|Special|Uncommon|3-6|Non- (0)|Nil|Average (8-10)|0|1|Variable|Solitary|Variable|Dexterity drain|Smoke|3-4 HD: 17<br>5-6 HD: 15|Nil|270|Neutral|8|Non-arctic/Ruins|Nil
['2103', '2125', '2140']|plandang|Advanced Dungeons & Dragons 2nd Edition|Plant, Dangerous I|Plant, Dangerous I|Choke Creeper|Carnivore|Rare|25|Non- (0)|Nil|Elite (14)|½|1|8 or more|Solitary|G (20-160' long)|Strangling|See below|7|Nil|18,000|Neutral|6/5|Temperate forest|1-4
['2103', '2125', '2140']|plandang|Advanced Dungeons & Dragons 2nd Edition|Plant, Dangerous I|Plant, Dangerous I|Mantrap|Carnivore|Very rare|4-9|Non- (0)|Nil|Steady (12)|0|1-2|0|Pair|L-G (4' per Hit Die)|See below|Nil|Nil|J-N &times;5,Q|4 HD: 650<br>5 HD: 975<br>6 HD: 1,400<br>7 HD: 2,000<br>8 HD: 3,000<br>9 HD: 4,000|Neutral|6|Tropical hills or forest|Nil
['2103', '2125', '2140']|plandang|Advanced Dungeons & Dragons 2nd Edition|Plant, Dangerous I|Plant, Dangerous I|Retch Plant|Sun, soil|Rare|5-8|Non- (0)|Nil|Average <nobr>(8-10)</nobr>|0|2-20|1 or 1d4+1|Cluster|H (20' tall)|See below|See below|5-6 HD: 15<br>7-8 HD: 13|Nil|5 HD: 270<br>6 HD: 420<br>7 HD: 650<br>8 HD: 975|Neutral|8|Any warm land|Nil
['2103', '2125', '2140']|plandang|Advanced Dungeons & Dragons 2nd Edition|Plant, Dangerous I|Plant, Dangerous I|Snappersaw|Carnivore|Very rare|5|Non- (0)|Nil|Steady <nobr>(11-12)</nobr>|0|1-2|1d4+2|Solitary|H (15' radius)|Trapping|Nil|15|Nil|3 saws: 270<br>4-5 saws: 420<br>6 saws: 975|Neutral|4/7/9|Any land|2-5
['2103', '2125', '2140']|plandang|Advanced Dungeons & Dragons 2nd Edition|Plant, Dangerous I|Plant, Dangerous I|Thornslinger|Carnivore|Rare|4|Non- (0)|Nil|Average <nobr>(8-10)</nobr>|0|3-12|1 volley|Cluster|M (4' radius)|Dew|Nil|Nil|Nil|270|Neutral|8|Any land|2-8
['2103', '2125', '2140']|plandang|Advanced Dungeons & Dragons 2nd Edition|Plant, Dangerous I|Plant, Dangerous I|Tri-flower Frond|Carnivore|Very rare|2+8|Non- (0)|Nil|Average (10)|0|1-10|1|Stand|M (5-8' tall)|See below|Nil|17|Nil|420|Neutral|9|Tropical forest|Nil
['2103', '2125', '2140']|plandang|Advanced Dungeons & Dragons 2nd Edition|Plant, Dangerous I|Plant, Dangerous I|Yellow Musk Creeper|Carnivore|Rare|3|Non- (0)|Nil|Fearless (20)|0|1|2-12|Solitary|L (20' square)|Pollen|Immunities|17|B|650|Neutral|7|Temperate forest or subterranean|Nil
['2103', '2125', '2140']|plandang|Advanced Dungeons & Dragons 2nd Edition|Plant, Dangerous I|Plant, Dangerous I|Yellow Musk Zombie|Nil|Rare|2 (special)|Animal (1)|Nil|Fearless (20)|6|1 per 2 flowers|1|Squad|M (4-7' tall)|Nil|Immunities|19|Nil|120|Neutral|10 or better|Temperate forest or subterranean|1-8 or by weapon
['2125']|ringworm|Forgotten Realms|Ring-Worm|Ring-Worm|Ring-Worm|Special|Very rare|1 hp|Non (0)|Nil|Special|1|1|Nil|Solitary|T (1-2&rdquo; long)|See below|See below|N/A|Nil|35|Neutral|2|Any|Nil
['2125']|rohch|Forgotten Realms|Rohch|Rohch|Dark|Carnivore|Rare|8|Semi- (2-4)|Nil|Champion (15-16)|12|1-6|6|Solitary|S (3' long)|Disease|+2 or better weapon to hit|13|J,K,L,M,N|2,000|Neutral evil|2|Tropical/subtropical|1-6/1-6/1-6/1-6/1-6/1-6
['2125']|rohch|Forgotten Realms|Rohch|Rohch|Killer|Omnivore|Uncommon|3|Semi- (2-4)|Nil|Average (8-10)|15|4-40|3|Pack|T (1' long)|Nil|+2 or better weapon to hit|17|Nil|65|Neutral|8|Any forest|1-4/1-4/1-4
['2125']|rohch|Forgotten Realms|Rohch|Rohch|Swamp|Omnivore|Rare|4|Low (5-7)|Nil|Elite (13-14)|12, Sw 9|1-12|3|Pack|T (2' long)|Nil|+2 or better weapon to hit|17|Nil|120|Neutral|5|Any swamp|1-6/1-6/1-6
['2125']|rohch|Forgotten Realms|Rohch|Rohch|Wood|Omnivore|Uncommon|1|Semi- (2-4)|Nil|Average (8-10)|15|10-100|3|Pack|T (1' long)|Nil|+2 or better weapon to hit|19|Nil|15|Neutral|10|Any forest|1-2/1-2/1-2
['2125', 'Dragon163']|sandcat|Forgotten Realms|Sand Cat|Sand Cat|Sand Cat|Carnivore|Uncommon|1+1|Animal (1)|Nil|Average (8-10)|15|1-4|3|Den|S (2-3')|Rear claws 1-2, surprise|Surprise|19|Nil|120|Neutral|8|Desert or dry steppe|1-4/ 1-3/ 1-3
['2125', '2166']|saurial|Forgotten Realms|Saurial|Saurial|Bladeback|Vegetarian|Very rare|2|Very (11-12)|Nil|Steady (12)|10|1-4|1 or 3|Community|L (7' tall)|See below|See below|19|Nil|35|Any|4|Jungle|By weapon
['2125', '2166']|saurial|Forgotten Realms|Saurial|Saurial|Finhead|Omnivore|Very rare|2|Very (11-12)|Nil|Steady (12)|12|1-6|1 or 2|Community|M (5' tall)|See below|See below|19|Nil|35|Any|5|Jungle|By weapon
['2125', '2166']|saurial|Forgotten Realms|Saurial|Saurial|Flyer|Carnivore|Very rare|2|Very (11-12)|Nil|Average (10)|9, Fl 24 (C)|2-8|1 or 3|Community|S (3' tall)|See below|See below|19|Nil|65|Any|6|Jungle/mountain|By weapon
['2125', '2166']|saurial|Forgotten Realms|Saurial|Saurial|Hornhead|Vegetarian|Very rare|4|Very (11-12)|Nil|Elite (14)|10|1-2|1 or 3|Community|L (10' tall)|See below|See below|17|Nil|120|Any|4|Jungle|By weapon
['2125']|shaaz|Forgotten Realms|Sha'az|Sha'az|Sha'az|Carnivore|Rare|1|Average (8-10)|Nil|Fearless (19)|6, Fl 18 (B)|2-12 (2d6)|1 bite or weapon|Feudal hives|M (6' tall)|Poison frost|Empathy|19|Nil (G)|Drone: 15<br>Warrior: 270<br>Queen: 1,400|Lawful neutral (good)|5 (4 with shield)|Arctic glaciers|1-4 or by weapon
['2125']|silvedog|Forgotten Realms|Silver Dog|Silver Dog|Silver Dog|Water/moonlight|Very rare|20|Genius (17-18)|90%|Unsteady (5-7)|18|1|N/A (see below)|Solitary|M (5' long)|Nil|See below|N/A (see below)|Nil|1,000 or -1,000|Neutral|-10|Forest|N/A (see below)
['2125']|simpathe|Forgotten Realms|Simpathetic|Simpathetic|Simpathetic|Carnivore/scavenger|Very rare|4 hp|High (13-14)|90%|Fanatic (17-18)|3, Fl 18 (B)|1-6 or 4-400+|1|Solitary or flock|T (1' wingspan)|Alignment alteration|Immune to fire-based attacks|20|Nil|650|Chaotic evil (see below)|7|Plains|1-4
['2125']|skuz|Forgotten Realms|Skuz|Skuz|Skuz|None|Very rare|11|Exceptional (16)|25%|Fearless (19-20)|1, Sw 15|1-6|2|Solitary|M (4-7' long)|Energy drain, spells|+2 or better weapon to hit|9|F|15,000|Chaotic evil|0|Ponds, lakes|2-12/2-12
['2125']|spidmonk|Forgotten Realms|Spider, Monkey|Spider, Monkey|Spider, Monkey|Frugivore|Rare|1 hp|Average to high (8-14)|Nil|Fanatic (17-18)|Cl 18|20-60 (In wild)|1|Tribal|T (1&rdquo; long)|Eyebite|None|18|Nil|1|Neutral good|6|Tropical rain forest, southern cities|1 point
['2125']|tren|Forgotten Realms|Tren|Tren|Tren|Carnivore|Rare|3+3|Average (8-10)|Nil|Elite (14)|12, Sw 9|10-80|3 or 1|Clan|M (6-7' tall)|See below|See below|17|A,D|175|Chaotic evil|4|Damp subterranean|1-3/1-3/2-7 or by weapon
